fund,agency,sid,appropriated_fy_2019,recommended_2020,recommended_2021,sid_code,sid_term
General Fund,Legislative Management,10010 - Personal Services,42119559,44553097,47495338,10010,10010
General Fund,Legislative Management,10020 - Other Expenses,11976294,11976294,11976294,10020,10020
General Fund,Legislative Management,10050 - Equipment,50000,50000,50000,10050,10050
General Fund,Legislative Management,12210 - Interim Salary/Caucus Offices,19984,19984,19984,12210,12210
General Fund,Legislative Management,12249 - Redistricting,25000,25000,25000,12249,12249
General Fund,Legislative Management,12445 - Old State House,500000,500000,500000,12445,12445
General Fund,Legislative Management,16057 - Interstate Conference Fund,377944,377944,377944,16057,16057
General Fund,Legislative Management,16130 - New England Board of Higher Education,183750,183750,183750,16130,16130
General Fund,Auditors of Public Accounts,10010 - Personal Services,10349151,10988315,11695262,10010,10010
General Fund,Auditors of Public Accounts,10020 - Other Expenses,272143,272143,272143,10020,10020
General Fund,"Commission on Women, Children and Seniors",10010 - Personal Services,400000,425385,453460,10010,10010
General Fund,"Commission on Women, Children and Seniors",10020 - Other Expenses,30000,30000,30000,10020,10020
General Fund,Commission on Equity and Opportunity,10010 - Personal Services,400000,425385,453460,10010,10010
General Fund,Commission on Equity and Opportunity,10020 - Other Expenses,30000,30000,30000,10020,10020
General Fund,Governor's Office,10010 - Personal Services,1943213,2043764,2154748,10010,10010
General Fund,Governor's Office,10020 - Other Expenses,176132,174483,174483,10020,10020
General Fund,Governor's Office,16026 - Coalition of Northeastern Governors,66952,74391,74391,16026,16026
General Fund,Governor's Office,16035 - National Governors' Association,105204,106600,106600,16035,16035
General Fund,Secretary of the State,10010 - Personal Services,2550229,2681168,2826337,10010,10010
General Fund,Secretary of the State,10020 - Other Expenses,1660209,1659594,1659594,10020,10020
General Fund,Secretary of the State,12480 - Commercial Recording Division,4532718,4672490,4819503,12480,12480
General Fund,Lieutenant Governor's Office,10010 - Personal Services,591699,618549,648244,10010,10010
General Fund,Lieutenant Governor's Office,10020 - Other Expenses,57251,57251,57251,10020,10020
General Fund,Elections Enforcement Commission,12522 - Elections Enforcement Commission,3125570,3321817,3518682,12522,12522
General Fund,Office of State Ethics,12347 - Information Technology Initiatives,28226,0,0,12347,12347
General Fund,Office of State Ethics,12523 - Office of State Ethics,1403529,1515986,1610143,12523,12523
General Fund,Freedom of Information Commission,12524 - Freedom of Information Commission,1513476,1618072,1707192,12524,12524
General Fund,State Treasurer,10010 - Personal Services,2759385,2903527,3052378,10010,10010
General Fund,State Treasurer,10020 - Other Expenses,125614,124999,124999,10020,10020
General Fund,Debt Service - State Treasurer,12285 - Debt Service,1858767569,1906900160,1997208185,12285,12285
General Fund,Debt Service - State Treasurer,12286 - UConn 2000 - Debt Service,210955639,216225089,234906539,12286,12286
General Fund,Debt Service - State Treasurer,12287 - CHEFA Day Care Security,5500000,5500000,5500000,12287,12287
General Fund,Debt Service - State Treasurer,12500 - Pension Obligation Bonds - TRB,118400521,118400521,118400521,12500,12500
General Fund,Debt Service - State Treasurer,17105 - Municipal Restructuring,20000000,45666625,56314629,17105,17105
General Fund,State Comptroller,10010 - Personal Services,22023826,23014883,24235594,10010,10010
General Fund,State Comptroller,10020 - Other Expenses,4511411,4750883,4749293,10020,10020
General Fund,State Comptroller - Miscellaneous,19001 - Nonfunctional - Change to Accruals,2985705,11111545,22326243,19001,19001
General Fund,State Comptroller - Fringe Benefits,12005 - Unemployment Compensation,6465764,6132100,4974400,12005,12005
General Fund,State Comptroller - Fringe Benefits,12006 - State Employees Retirement Contributions,1165586416,1268557372,1373926320,12006,12006
General Fund,State Comptroller - Fringe Benefits,12007 - Higher Education Alternative Retirement System,1000,30044700,30044700,12007,12007
General Fund,State Comptroller - Fringe Benefits,12008 - Pensions and Retirements - Other Statutory,1657248,1974003,2029134,12008,12008
General Fund,State Comptroller - Fringe Benefits,12009 - Judges and Compensation Commissioners Retirement,27427480,27010989,28522111,12009,12009
General Fund,State Comptroller - Fringe Benefits,12010 - Insurance - Group Life,8270468,8514800,8770200,12010,12010
General Fund,State Comptroller - Fringe Benefits,12011 - Employers Social Security Tax,199077427,208255096,217511800,12011,12011
General Fund,State Comptroller - Fringe Benefits,12012 - State Employees Health Service Cost,655811120,683297327,720194863,12012,12012
General Fund,State Comptroller - Fringe Benefits,12013 - Retired State Employees Health Service Cost,687599000,776021000,847309000,12013,12013
General Fund,State Comptroller - Fringe Benefits,12016 - Tuition Reimbursement - Training and Travel ,0,3475000,3508500,12016,12016
General Fund,State Comptroller - Fringe Benefits,12018 - Other Post Employment Benefits,91200000,95650800,83371300,12018,12018
General Fund,State Comptroller - Fringe Benefits,12T13 - SERS Defined Contribution Match,0,2135398,3240740,12T13,12T13
General Fund,Department of Revenue Services,10010 - Personal Services,54639727,55738897,58820506,10010,10010
General Fund,Department of Revenue Services,10020 - Other Expenses,6433061,7777623,7327623,10020,10020
General Fund,Office of Governmental Accountability,10020 - Other Expenses,32507,30662,32287,10020,10020
General Fund,Office of Governmental Accountability,12028 - Child Fatality Review Panel,94734,101202,108354,12028,12028
General Fund,Office of Governmental Accountability,12525 - Contracting Standards Board,158494,167239,176909,12525,12525
General Fund,Office of Governmental Accountability,12526 - Judicial Review Council,124509,128996,132963,12526,12526
General Fund,Office of Governmental Accountability,12527 - Judicial Selection Commission,82097,86713,91816,12527,12527
General Fund,Office of Governmental Accountability,12528 - Office of the Child Advocate,630059,670062,711931,12528,12528
General Fund,Office of Governmental Accountability,12529 - Office of the Victim Advocate,387708,406323,428651,12529,12529
General Fund,Office of Governmental Accountability,12530 - Board of Firearms Permit Examiners,113272,114611,121016,12530,12530
General Fund,Office of Policy and Management,10010 - Personal Services,9728126,10875537,11579172,10010,10010
General Fund,Office of Policy and Management,10020 - Other Expenses,1043180,1173684,1173684,10020,10020
General Fund,Office of Policy and Management,12169 - Automated Budget System and Data Base Link,26776,26776,26776,12169,12169
General Fund,Office of Policy and Management,12251 - Justice Assistance Grants,819440,823001,826328,12251,12251
General Fund,Office of Policy and Management,12573 - Project Longevity,573750,573750,573750,12573,12573
General Fund,Office of Policy and Management,12594 - Council of Governments,4106250,0,0,12594,12594
General Fund,Office of Policy and Management,16017 - Tax Relief For Elderly Renters,25020226,25020226,25020226,16017,16017
General Fund,Office of Policy and Management,16066 - Private Providers,31037000,3000000,6000000,16066,16066
General Fund,Office of Policy and Management,17004 - Reimbursement to Towns for Loss of Taxes on State Property,56045788,54944031,54944031,17004,17004
General Fund,Office of Policy and Management,17006 - Reimbursements to Towns for Private Tax-Exempt Property,105889432,105889434,105889434,17006,17006
General Fund,Office of Policy and Management,17011 - Reimbursement Property Tax - Disability Exemption,364713,364713,364713,17011,17011
General Fund,Office of Policy and Management,17021 - Property Tax Relief Elderly Freeze Program,65000,40000,40000,17021,17021
General Fund,Office of Policy and Management,17024 - Property Tax Relief for Veterans,2708107,2708107,2708107,17024,17024
General Fund,Office of Policy and Management,17102 - Municipal Revenue Sharing,36819135,36819135,36819135,17102,17102
General Fund,Office of Policy and Management,17103 - Municipal Transition,30700000,29596908,32331732,17103,17103
General Fund,Office of Policy and Management,17104 - Municipal Stabilization Grant,37753335,37753335,37753335,17104,17104
General Fund,Office of Policy and Management,17105 - Municipal Restructuring,27300000,7300000,7300000,17105,17105
General Fund,Reserve for Salary Adjustments,12015 - Reserve For Salary Adjustments,99232684,18226900,23893500,12015,12015
General Fund,Department of Veterans Affairs,10010 - Personal Services,19359298,19375575,20415930,10010,10010
General Fund,Department of Veterans Affairs,10020 - Other Expenses,2903427,2903207,2903207,10020,10020
General Fund,Department of Veterans Affairs,12574 - SSMF Administration,511396,511396,511396,12574,12574
General Fund,Department of Veterans Affairs,16045 - Burial Expenses,6666,6666,6666,16045,16045
General Fund,Department of Veterans Affairs,16049 - Headstones,307834,307834,307834,16049,16049
General Fund,Department of Administrative Services  ,10010 - Personal Services,45853884,48133645,50482515,10010,10010
General Fund,Department of Administrative Services  ,10020 - Other Expenses,27377295,30143935,31181530,10020,10020
General Fund,Department of Administrative Services  ,12115 - Loss Control Risk Management,92634,92634,92634,12115,12115
General Fund,Department of Administrative Services  ,12123 - Employees' Review Board,17611,17611,17611,12123,12123
General Fund,Department of Administrative Services  ,12141 - Surety Bonds for State Officials and Employees,147524,69000,73500,12141,12141
General Fund,Department of Administrative Services  ,12176 - Refunds Of Collections,21453,21453,21453,12176,12176
General Fund,Department of Administrative Services  ,12179 - Rents and Moving,11318952,10571577,10571577,12179,12179
General Fund,Department of Administrative Services  ,12218 - W. C. Administrator,5000000,5000000,5000000,12218,12218
General Fund,Department of Administrative Services  ,12507 - State Insurance and Risk Mgmt Operations,10917391,12239855,12239855,12507,12507
General Fund,Department of Administrative Services  ,12511 - IT Services,11759563,14719176,17325576,12511,12511
General Fund,Department of Administrative Services  ,12595 - Firefighters Fund,400000,400000,400000,12595,12595
General Fund,Workers' Compensation Claims - Department of Administrative Services,12235 - Workers' Compensation Claims,7605530,7982375,8259800,12235,12235
General Fund,Attorney General,10010 - Personal Services,30078364,30379331,30870633,10010,10010
General Fund,Attorney General,10020 - Other Expenses,1020461,1019910,1019910,10020,10020
General Fund,Division of Criminal Justice,10010 - Personal Services,42792388,44746899,46809521,10010,10010
General Fund,Division of Criminal Justice,10020 - Other Expenses,2159460,2394240,2394240,10020,10020
General Fund,Division of Criminal Justice,12069 - Witness Protection,164148,164148,164148,12069,12069
General Fund,Division of Criminal Justice,12097 - Training And Education,27398,27398,27398,12097,12097
General Fund,Division of Criminal Justice,12110 - Expert Witnesses,135413,135413,135413,12110,12110
General Fund,Division of Criminal Justice,12117 - Medicaid Fraud Control,1041425,1197897,1254282,12117,12117
General Fund,Division of Criminal Justice,12485 - Criminal Justice Commission,409,409,409,12485,12485
General Fund,Division of Criminal Justice,12537 - Cold Case Unit,228213,228213,228213,12537,12537
General Fund,Division of Criminal Justice,12538 - Shooting Taskforce,1034499,1074222,1127052,12538,12538
General Fund,Department of Emergency Services and Public Protection,10010 - Personal Services,142219449,142669082,146135390,10010,10010
General Fund,Department of Emergency Services and Public Protection,10020 - Other Expenses,25280114,27882589,28269417,10020,10020
General Fund,Department of Emergency Services and Public Protection,12026 - Stress Reduction,25354,25354,25354,12026,12026
General Fund,Department of Emergency Services and Public Protection,12082 - Fleet Purchase,6581737,5581737,5581737,12082,12082
General Fund,Department of Emergency Services and Public Protection,12235 - Workers' Compensation Claims,4636817,4136817,4136817,12235,12235
General Fund,Department of Emergency Services and Public Protection,12535 - Criminal Justice Information System,2739398,2684610,2684610,12535,12535
General Fund,Department of Emergency Services and Public Protection,16009 - Fire Training School - Willimantic,150076,150076,150076,16009,16009
General Fund,Department of Emergency Services and Public Protection,16010 - Maintenance of County Base Fire Radio Network,19528,19528,19528,16010,16010
General Fund,Department of Emergency Services and Public Protection,16011 - Maintenance of State-Wide Fire Radio Network,12997,12997,12997,16011,16011
General Fund,Department of Emergency Services and Public Protection,16013 - Police Association of Connecticut,172353,172353,172353,16013,16013
General Fund,Department of Emergency Services and Public Protection,16014 - Connecticut State Firefighter's Association,176625,176625,176625,16014,16014
General Fund,Department of Emergency Services and Public Protection,16025 - Fire Training School - Torrington,81367,81367,81367,16025,16025
General Fund,Department of Emergency Services and Public Protection,16034 - Fire Training School - New Haven,48364,48364,48364,16034,16034
General Fund,Department of Emergency Services and Public Protection,16044 - Fire Training School - Derby,37139,37139,37139,16044,16044
General Fund,Department of Emergency Services and Public Protection,16056 - Fire Training School - Wolcott,100162,100162,100162,16056,16056
General Fund,Department of Emergency Services and Public Protection,16065 - Fire Training School - Fairfield,70395,70395,70395,16065,16065
General Fund,Department of Emergency Services and Public Protection,16074 - Fire Training School - Hartford,169336,169336,169336,16074,16074
General Fund,Department of Emergency Services and Public Protection,16080 - Fire Training School - Middletown,68470,68470,68470,16080,16080
General Fund,Department of Emergency Services and Public Protection,16179 - Fire Training School - Stamford,55432,55432,55432,16179,16179
General Fund,Military Department,10010 - Personal Services,2635706,2777206,2945438,10010,10010
General Fund,Military Department,10020 - Other Expenses,2171661,2171221,2171221,10020,10020
General Fund,Military Department,12144 - Honor Guard,525000,469000,469000,12144,12144
General Fund,Military Department,12325 - Veteran's Service Bonuses,93333,93333,93333,12325,12325
General Fund,Department of Consumer Protection,10010 - Personal Services,12394045,13260897,14013498,10010,10010
General Fund,Department of Consumer Protection,10020 - Other Expenses,1134001,1153928,1148428,10020,10020
General Fund,Labor Department,10010 - Personal Services,8503989,9010063,9523180,10010,10010
General Fund,Labor Department,10020 - Other Expenses,1026326,1014985,1014985,10020,10020
General Fund,Labor Department,12079 - CETC Workforce,557632,562744,567979,12079,12079
General Fund,Labor Department,12098 - Workforce Investment Act,36662281,33082628,33082628,12098,12098
General Fund,Labor Department,12108 - Job Funnels Projects,73342,73342,73342,12108,12108
General Fund,Labor Department,12205 - Connecticut's Youth Employment Program,4000000,4000040,4000096,12205,12205
General Fund,Labor Department,12212 - Jobs First Employment Services,12482645,12521662,12562412,12212,12212
General Fund,Labor Department,12328 - Apprenticeship Program,465342,482706,499921,12328,12328
General Fund,Labor Department,12329 - Spanish-American Merchants Association,300367,302782,304694,12329,12329
General Fund,Labor Department,12357 - Connecticut Career Resource Network,153113,111327,116385,12357,12357
General Fund,Labor Department,12425 - STRIVE,76058,76058,76058,12425,12425
General Fund,Labor Department,12575 - Opportunities for Long Term Unemployed,1753994,1754229,1754573,12575,12575
General Fund,Labor Department,12576 - Veterans’ Opportunity Pilot,227606,233070,240823,12576,12576
General Fund,Labor Department,12582 - Second Chance Initiative,311403,311481,311594,12582,12582
General Fund,Labor Department,12583 - Cradle To Career,100000,0,0,12583,12583
General Fund,Labor Department,12586 - New Haven Jobs Funnel,344241,344241,344241,12586,12586
General Fund,Labor Department,12596 - Healthcare Apprenticeship Initiative,500000,0,0,12596,12596
General Fund,Labor Department,12597 - Manufacturing Pipeline Initiative,1000000,901332,903251,12597,12597
General Fund,Labor Department,12T26 - Paid Family Medical Leave,0,5170575,0,12T26,12T26
General Fund,Commission on Human Rights and Opportunities,10010 - Personal Services,5715977,5987638,6308051,10010,10010
General Fund,Commission on Human Rights and Opportunities,10020 - Other Expenses,286958,286958,286958,10020,10020
General Fund,Commission on Human Rights and Opportunities,"12027 - Martin Luther King, Jr. Commission",5977,5977,5977,12027,12027
General Fund,Department of Agriculture ,10010 - Personal Services,3509625,4015502,4209629,10010,10010
General Fund,Department of Agriculture ,10020 - Other Expenses,802786,800959,800959,10020,10020
General Fund,Department of Agriculture ,12421 - Senior Food Vouchers,350442,351939,354104,12421,12421
General Fund,Department of Agriculture ,12606 - Dairy Farmer – Agriculture Sustainability ,1000000,5500000,5500000,12606,12606
General Fund,Department of Agriculture ,16075 - WIC Coupon Program for Fresh Produce,167938,167938,167938,16075,16075
General Fund,Department of Agriculture ,16T09 - Community Investment Account,0,3581807,3570450,16T09,16T09
General Fund,Department of Energy and Environmental Protection,10010 - Personal Services,21499368,20235744,21222573,10010,10010
General Fund,Department of Energy and Environmental Protection,10020 - Other Expenses,456853,358752,358752,10020,10020
General Fund,Department of Energy and Environmental Protection,12054 - Mosquito Control,221097,230354,236055,12054,12054
General Fund,Department of Energy and Environmental Protection,12084 - State Superfund Site Maintenance,399577,399577,399577,12084,12084
General Fund,Department of Energy and Environmental Protection,12146 - Laboratory Fees,129015,129015,129015,12146,12146
General Fund,Department of Energy and Environmental Protection,12195 - Dam Maintenance,113740,118956,124850,12195,12195
General Fund,Department of Energy and Environmental Protection,12487 - Emergency Spill Response,6336389,6601519,6853389,12487,12487
General Fund,Department of Energy and Environmental Protection,12488 - Solid Waste Management,3557478,3656481,3751297,12488,12488
General Fund,Department of Energy and Environmental Protection,12489 - Underground Storage Tank,855844,890592,921535,12489,12489
General Fund,Department of Energy and Environmental Protection,12490 - Clean Air,3850673,3974654,4117754,12490,12490
General Fund,Department of Energy and Environmental Protection,12491 - Environmental Conservation,4850115,4856000,5010909,12491,12491
General Fund,Department of Energy and Environmental Protection,12501 - Environmental Quality,8218035,8562360,8898044,12501,12501
General Fund,Department of Energy and Environmental Protection,12598 - Fish Hatcheries,2079562,2115785,2161194,12598,12598
General Fund,Department of Energy and Environmental Protection,16015 - Interstate Environmental Commission,44937,3333,3333,16015,16015
General Fund,Department of Energy and Environmental Protection,16046 - New England Interstate Water Pollution Commission,26554,26554,26554,16046,16046
General Fund,Department of Energy and Environmental Protection,16052 - Northeast Interstate Forest Fire Compact,3082,3082,3082,16052,16052
General Fund,Department of Energy and Environmental Protection,16059 - Connecticut River Valley Flood Control Commission,30295,30295,30295,16059,16059
General Fund,Department of Energy and Environmental Protection,16083 - Thames River Valley Flood Control Commission,45151,45151,45151,16083,16083
General Fund,Department of Energy and Environmental Protection,16T09 - Community Investment Account,0,2470422,2450127,16T09,16T09
General Fund,Department of Economic and Community Development,10010 - Personal Services,6946217,7457896,7862962,10010,10010
General Fund,Department of Economic and Community Development,10020 - Other Expenses,500968,489382,489382,10020,10020
General Fund,Department of Economic and Community Development,12437 - Office of Military Affairs,187575,194620,202411,12437,12437
General Fund,Department of Economic and Community Development,12540 - Capital Region Development Authority,6249121,6249121,6249121,12540,12540
General Fund,Department of Economic and Community Development,12T11 - State Historic Preservation,0,2295757,2295757,12T11,12T11
General Fund,Department of Economic and Community Development,16197 - CT Trust for Historic Preservation,0,380000,380000,16197,16197
General Fund,Department of Housing,10010 - Personal Services,1801379,1877176,1953445,10010,10010
General Fund,Department of Housing,10020 - Other Expenses,153945,164893,164893,10020,10020
General Fund,Department of Housing,12032 - Elderly Rental Registry and Counselors,1014722,1014722,1014722,12032,12032
General Fund,Department of Housing,12504 - Homeless Youth,2282505,2292929,2292929,12504,12504
General Fund,Department of Housing,12T13 - Homeless Supports,0,2480415,2480415,12T13,12T13
General Fund,Department of Housing,16029 - Subsidized Assisted Living Demonstration,2084241,2612000,2678000,16029,16029
General Fund,Department of Housing,16068 - Congregate Facilities Operation Costs,7189480,7189480,7189480,16068,16068
