fund,agency,sid,appropriated_fy_2019,recommended_2020,recommended_2021,sid_code,sid_term
General Fund,Department of Children and Families,10010 - Personal Services,266242164,269468513,279496655,10010,10010
General Fund,Department of Children and Families,10020 - Other Expenses,28887225,28964687,29160237,10020,10020
General Fund,Department of Children and Families,12235 - Workers' Compensation Claims,12578720,10470082,10158413,12235,12235
General Fund,Department of Children and Families,12304 - Family Support Services,867677,946451,946451,12304,12304
General Fund,Department of Children and Families,12515 - Differential Response System,7764046,13120002,15812975,12515,12515
General Fund,Department of Children and Families,12570 - Regional Behavioral Health Consultation,1619023,1646024,1646024,12570,12570
General Fund,Department of Children and Families,16008 - Health Assessment and Consultation,1082532,1415723,1415723,16008,16008
General Fund,Department of Children and Families,16024 - Grants for Psychiatric Clinics for Children,14979041,16182464,16182464,16024,16024
General Fund,Department of Children and Families,16033 - Day Treatment Centers for Children,6759728,7275589,7275589,16033,16033
General Fund,Department of Children and Families,16064 - Child Abuse and Neglect Intervention,10116287,9874101,9874101,16064,16064
General Fund,Department of Children and Families,16092 - Community Based Prevention Programs,7637305,7527785,7527785,16092,16092
General Fund,Department of Children and Families,16097 - Family Violence Outreach and Counseling,2547289,3745395,3745395,16097,16097
General Fund,Department of Children and Families,16102 - Supportive Housing,18479526,19886064,19886064,16102,16102
General Fund,Department of Children and Families,16107 - No Nexus Special Education,2151861,1904652,1952268,16107,16107
General Fund,Department of Children and Families,16111 - Family Preservation Services,6070574,6593987,6593987,16111,16111
General Fund,Department of Children and Families,16116 - Substance Abuse Treatment,9840612,8629640,8629640,16116,16116
General Fund,Department of Children and Families,16120 - Child Welfare Support Services,1757237,2560026,2560026,16120,16120
General Fund,Department of Children and Families,16132 - Board and Care for Children - Adoption,98735921,102078733,104750134,16132,16132
General Fund,Department of Children and Families,16135 - Board and Care for Children - Foster,135345435,136996712,136781796,16135,16135
General Fund,Department of Children and Families,16138 - Board and Care for Children - Short-term and Residential,90339295,89246759,88983554,16138,16138
General Fund,Department of Children and Families,16140 - Individualized Family Supports,6552680,5885205,5885205,16140,16140
General Fund,Department of Children and Families,16141 - Community Kidcare,37968191,44221621,44103938,16141,16141
General Fund,Department of Children and Families,16144 - Covenant to Care,133548,161412,161412,16144,16144
General Fund,Judicial Department ,10010 - Personal Services,325017550,339801606,353827190,10010,10010
General Fund,Judicial Department ,10020 - Other Expenses,59839025,59839025,59839025,10020,10020
General Fund,Judicial Department ,12025 - Forensic Sex Evidence Exams,1348010,1348010,1348010,12025,12025
General Fund,Judicial Department ,12043 - Alternative Incarceration Program,49452837,50257733,50257733,12043,12043
General Fund,Judicial Department ,"12064 - Justice Education Center, Inc.",466217,469714,469714,12064,12064
General Fund,Judicial Department ,12105 - Juvenile Alternative Incarceration,19919286,20063056,20063056,12105,12105
General Fund,Judicial Department ,12135 - Probate Court,4350000,4350000,4350000,12135,12135
General Fund,Judicial Department ,12235 - Workers' Compensation Claims,6042106,6042106,6042106,12235,12235
General Fund,Judicial Department ,12375 - Youthful Offender Services,9653277,9725677,9725677,12375,12375
General Fund,Judicial Department ,12376 - Victim Security Account,8792,8792,8792,12376,12376
General Fund,Judicial Department ,12502 - Children of Incarcerated Parents,490053,493728,493728,12502,12502
General Fund,Judicial Department ,12516 - Legal Aid,1397144,1397144,1397144,12516,12516
General Fund,Judicial Department ,12555 - Youth Violence Initiative,1925318,1939758,1939758,12555,12555
General Fund,Judicial Department ,12559 - Youth Services Prevention,3187174,3211078,3211078,12559,12559
General Fund,Judicial Department ,12572 - Children's Law Center,92445,92445,92445,12572,12572
General Fund,Judicial Department ,12579 - Juvenile Planning,208620,208620,208620,12579,12579
General Fund,Judicial Department ,16043 - Juvenile Justice Outreach Services,10566795,10646046,10646046,16043,16043
General Fund,Judicial Department ,16138 - Board and Care for Children - Short-term and Residential,6285334,6332474,6332474,16138,16138
General Fund,Public Defender Services Commission ,10010 - Personal Services,38260790,40153930,42299163,10010,10010
General Fund,Public Defender Services Commission ,10020 - Other Expenses,1173363,1181163,1181163,10020,10020
General Fund,Public Defender Services Commission ,12076 - Assigned Counsel - Criminal,22442284,22442284,22442284,12076,12076
General Fund,Public Defender Services Commission ,12090 - Expert Witnesses,2875604,2875604,2875604,12090,12090
General Fund,Public Defender Services Commission ,12106 - Training And Education,119748,119748,119748,12106,12106
General Fund,Statewide - Lapses,19501 - Unallocated Lapse,-9515570,-9515570,-9515570,19501,19501
General Fund,Statewide - Lapses,19503 - Unallocated Lapse - Judicial,-5000000,-5000000,-5000000,19503,19503
General Fund,Statewide - Lapses,99377 - Statewide Hiring Reduction,-7000000,-7000000,-7000000,99377,99377
General Fund,Statewide - Lapses,99401 - Achieve Labor Concessions,0,-181900000,-276800000,99401,99401
Special Transportation Fund,Debt Service - State Treasurer,12285 - Debt Service,651223716,690580233,756638231,12285,12285
Special Transportation Fund,State Comptroller - Miscellaneous,19001 - Nonfunctional - Change to Accruals,213133,1181008,1296031,19001,19001
Special Transportation Fund,State Comptroller - Fringe Benefits,12005 - Unemployment Compensation,203548,203548,203548,12005,12005
Special Transportation Fund,State Comptroller - Fringe Benefits,12006 - State Employees Retirement Contributions,126280942,162804000,175928000,12006,12006
Special Transportation Fund,State Comptroller - Fringe Benefits,12010 - Insurance - Group Life,277357,282900,288600,12010,12010
Special Transportation Fund,State Comptroller - Fringe Benefits,12011 - Employers Social Security Tax,15674834,16545655,17296756,12011,12011
Special Transportation Fund,State Comptroller - Fringe Benefits,12012 - State Employees Health Service Cost,46618403,51600045,55063217,12012,12012
Special Transportation Fund,State Comptroller - Fringe Benefits,12018 - Other Post Employment Benefits,6000000,6128100,5264600,12018,12018
Special Transportation Fund,State Comptroller - Fringe Benefits,12T13 - SERS Defined Contribution Match,0,245585,364506,12T13,12T13
Special Transportation Fund,Reserve for Salary Adjustments,12015 - Reserve For Salary Adjustments,2301186,1932200,2055500,12015,12015
Special Transportation Fund,Department of Administrative Services  ,12507 - State Insurance and Risk Mgmt Operations,8508924,8934370,8934370,12507,12507
Special Transportation Fund,Workers' Compensation Claims - Department of Administrative Services,12235 - Workers' Compensation Claims,6723297,6723297,6723297,12235,12235
Special Transportation Fund,Department of Motor Vehicles,10010 - Personal Services,49296260,51720146,54672496,10010,10010
Special Transportation Fund,Department of Motor Vehicles,10020 - Other Expenses,15397378,15405556,15405556,10020,10020
Special Transportation Fund,Department of Motor Vehicles,10050 - Equipment,468756,468756,468756,10050,10050
Special Transportation Fund,Department of Motor Vehicles,12091 - Commercial Vehicle Information Systems and Networks Project,214676,324676,324676,12091,12091
Special Transportation Fund,Department of Energy and Environmental Protection,10010 - Personal Services,2060488,2051204,2163394,10010,10010
Special Transportation Fund,Department of Energy and Environmental Protection,10020 - Other Expenses,701974,701974,701974,10020,10020
Special Transportation Fund,Department of Transportation,10010 - Personal Services,175874964,185222982,195224586,10010,10010
Special Transportation Fund,Department of Transportation,10020 - Other Expenses,53214223,53372716,53372716,10020,10020
Special Transportation Fund,Department of Transportation,10050 - Equipment,1341329,1341329,1341329,10050,10050
Special Transportation Fund,Department of Transportation,10070 - Minor Capital Projects,449639,449639,449639,10070,10070
Special Transportation Fund,Department of Transportation,12017 - Highway Planning And Research,3060131,3060131,3060131,12017,12017
Special Transportation Fund,Department of Transportation,12168 - Rail Operations,211673193,215598790,215927417,12168,12168
Special Transportation Fund,Department of Transportation,12175 - Bus Operations,191687787,196616501,201522710,12175,12175
Special Transportation Fund,Department of Transportation,12378 - ADA Para-transit Program,41839446,43303827,44819461,12378,12378
Special Transportation Fund,Department of Transportation,12379 - Non-ADA Dial-A-Ride Program,1576361,576361,576361,12379,12379
Special Transportation Fund,Department of Transportation,12518 - Pay-As-You-Go Transportation Projects,13629769,13652577,13676378,12518,12518
Special Transportation Fund,Department of Transportation,12590 - Port Authority,400000,400000,400000,12590,12590
Special Transportation Fund,Department of Transportation,12T77 - Transportation S4,0,1753904,1753904,12T77,12T77
Special Transportation Fund,Department of Transportation,16276 - Transportation to Work ,2370629,2370629,2370629,16276,16276
Special Transportation Fund,Statewide - Lapses,19501 - Unallocated Lapse,-12000000,-12000000,-12000000,19501,19501
Special Transportation Fund,Statewide - Lapses,99401 - Achieve Labor Concessions,0,-18300000,-19700000,99401,99401
Banking Fund,State Comptroller - Miscellaneous,19001 - Nonfunctional - Change to Accruals,95178,37367,39541,19001,19001
Banking Fund,Department of Banking,10010 - Personal Services,10984235,11398113,11924323,10010,10010
Banking Fund,Department of Banking,10020 - Other Expenses,1478390,1535297,1535307,10020,10020
Banking Fund,Department of Banking,10050 - Equipment,44900,44900,44900,10050,10050
Banking Fund,Department of Banking,12244 - Fringe Benefits,8787388,10260355,10734844,12244,12244
Banking Fund,Department of Banking,12262 - Indirect Overhead,291192,121193,121193,12262,12262
Banking Fund,Labor Department,12232 - Opportunity Industrial Centers,475000,475000,475000,12232,12232
Banking Fund,Labor Department,12471 - Customized Services,950000,950000,950000,12471,12471
Banking Fund,Department of Housing,12432 - Fair Housing,670000,670000,670000,12432,12432
Banking Fund,Judicial Department ,12472 - Foreclosure Mediation Program,3610565,0,0,12472,12472
Insurance Fund,State Comptroller - Miscellaneous,19001 - Nonfunctional - Change to Accruals,116945,61673,71133,19001,19001
Insurance Fund,Office of Policy and Management,10010 - Personal Services,313882,332056,349339,10010,10010
Insurance Fund,Office of Policy and Management,10020 - Other Expenses,6012,6012,6012,10020,10020
Insurance Fund,Office of Policy and Management,12244 - Fringe Benefits,200882,236348,251038,12244,12244
Insurance Fund,Insurance  Department,10010 - Personal Services,13796046,14649306,15496303,10010,10010
Insurance Fund,Insurance  Department,10020 - Other Expenses,1727807,1850916,1725916,10020,10020
Insurance Fund,Insurance  Department,10050 - Equipment,52500,52500,52500,10050,10050
Insurance Fund,Insurance  Department,12244 - Fringe Benefits,10938946,13138962,13898634,12244,12244
Insurance Fund,Insurance  Department,12262 - Indirect Overhead,466740,228468,228468,12262,12262
Insurance Fund,Office of the Healthcare Advocate,10010 - Personal Services,1596950,1573775,1655805,10010,10010
Insurance Fund,Office of the Healthcare Advocate,10020 - Other Expenses,305000,305000,305000,10020,10020
Insurance Fund,Office of the Healthcare Advocate,10050 - Equipment,5000,5000,5000,10050,10050
Insurance Fund,Office of the Healthcare Advocate,12244 - Fringe Benefits,1253599,1544438,1626111,12244,12244
Insurance Fund,Office of the Healthcare Advocate,12262 - Indirect Overhead,106630,100,100,12262,12262
Insurance Fund,Department of Housing,12605 - Crumbling Foundations,110844,146000,156000,12605,12605
Insurance Fund,Department of Public Health ,12100 - Needle and Syringe Exchange Program,459416,460741,460741,12100,12100
Insurance Fund,Department of Public Health ,12126 - Children's Health Initiatives,2935769,2963506,2988430,12126,12126
Insurance Fund,Department of Public Health ,12236 - AIDS Services,4975686,4987064,4987064,12236,12236
Insurance Fund,Department of Public Health ,12255 - Breast and Cervical Cancer Detection and Treatment,2150565,2170035,2189256,12255,12255
Insurance Fund,Department of Public Health ,12563 - Immunization Services,48018326,55130636,62182296,12563,12563
Insurance Fund,Department of Public Health ,16112 - X-Ray Screening and Tuberculosis Care,965148,965148,965148,16112,16112
Insurance Fund,Department of Public Health ,17013 - Venereal Disease Control,197171,197341,197341,17013,17013
Insurance Fund,Office of Health Strategy,10010 - Personal Services,836433,966086,1021026,10010,10010
Insurance Fund,Office of Health Strategy,10020 - Other Expenses,2136767,2136767,2136767,10020,10020
Insurance Fund,Office of Health Strategy,10050 - Equipment,10000,10000,10000,10050,10050
Insurance Fund,Office of Health Strategy,12244 - Fringe Benefits,738151,815093,860664,12244,12244
Insurance Fund,Department of Mental Health and Addiction Services,12157 - Managed Service System,408924,412377,412377,12157,12157
Insurance Fund,Department of Rehabilitation Services,12565 - Fall Prevention,376023,377955,377955,12565,12565
Consumer Counsel and Public Utility Control Fund,State Comptroller - Miscellaneous,19001 - Nonfunctional - Change to Accruals,89658,37296,42640,19001,19001
Consumer Counsel and Public Utility Control Fund,Office of Consumer Counsel,10010 - Personal Services,1288453,1349679,1414178,10010,10010
Consumer Counsel and Public Utility Control Fund,Office of Consumer Counsel,10020 - Other Expenses,332907,332907,332907,10020,10020
Consumer Counsel and Public Utility Control Fund,Office of Consumer Counsel,10050 - Equipment,2200,2200,2200,10050,10050
Consumer Counsel and Public Utility Control Fund,Office of Consumer Counsel,12244 - Fringe Benefits,1056988,1228208,1286902,12244,12244
Consumer Counsel and Public Utility Control Fund,Office of Consumer Counsel,12262 - Indirect Overhead,100,40568,40568,12262,12262
Consumer Counsel and Public Utility Control Fund,Department of Energy and Environmental Protection,10010 - Personal Services,11834823,12333038,12837077,10010,10010
Consumer Counsel and Public Utility Control Fund,Department of Energy and Environmental Protection,10020 - Other Expenses,1479367,1479367,1479367,10020,10020
Consumer Counsel and Public Utility Control Fund,Department of Energy and Environmental Protection,10050 - Equipment,19500,19500,19500,10050,10050
Consumer Counsel and Public Utility Control Fund,Department of Energy and Environmental Protection,12244 - Fringe Benefits,9467858,10603413,11039886,12244,12244
Consumer Counsel and Public Utility Control Fund,Department of Energy and Environmental Protection,12262 - Indirect Overhead,100,100,100,12262,12262
Workers' Compensation Fund,State Comptroller - Miscellaneous,19001 - Nonfunctional - Change to Accruals,72298,29681,27484,19001,19001
Workers' Compensation Fund,Division of Criminal Justice,10010 - Personal Services,369969,387926,408464,10010,10010
Workers' Compensation Fund,Division of Criminal Justice,10020 - Other Expenses,10428,10428,10428,10020,10020
Workers' Compensation Fund,Division of Criminal Justice,12244 - Fringe Benefits,306273,407322,428887,12244,12244
Workers' Compensation Fund,Labor Department,12045 - Occupational Health Clinics,687148,689452,691122,12045,12045
Workers' Compensation Fund,Workers' Compensation Commission,10010 - Personal Services,10240361,10648775,10971397,10010,10010
Workers' Compensation Fund,Workers' Compensation Commission,10020 - Other Expenses,2659765,2799545,2709545,10020,10020
Workers' Compensation Fund,Workers' Compensation Commission,10050 - Equipment,1,1,1,10050,10050
Workers' Compensation Fund,Workers' Compensation Commission,12244 - Fringe Benefits,8192289,10222827,10533241,12244,12244
Workers' Compensation Fund,Workers' Compensation Commission,12262 - Indirect Overhead,291637,635967,635967,12262,12262
Workers' Compensation Fund,Department of Rehabilitation Services,10010 - Personal Services,514113,532952,556240,10010,10010
Workers' Compensation Fund,Department of Rehabilitation Services,10020 - Other Expenses,53822,53822,53822,10020,10020
Workers' Compensation Fund,Department of Rehabilitation Services,12066 - Rehabilitative Services,1111913,1111913,1111913,12066,12066
Workers' Compensation Fund,Department of Rehabilitation Services,12244 - Fringe Benefits,430485,493567,515134,12244,12244
Mashantucket Pequot and Mohegan Fund,Office of Policy and Management,17005 - Grants To Towns,49942796,49942796,49942796,17005,17005
Regional Market Operation Fund,State Comptroller - Miscellaneous,19001 - Nonfunctional - Change to Accruals,2845,1264,1636,19001,19001
Regional Market Operation Fund,Department of Agriculture ,10010 - Personal Services,430138,449091,470898,10010,10010
Regional Market Operation Fund,Department of Agriculture ,10020 - Other Expenses,273007,273007,273007,10020,10020
Regional Market Operation Fund,Department of Agriculture ,12244 - Fringe Benefits,361316,361316,361316,12244,12244
Criminal Injuries Compensation Fund,Judicial Department ,12047 - Criminal Injuries Compensation,2934088,2934088,2934088,12047,12047
Tourism Fund,Department of Economic and Community Development,12296 - Statewide Marketing,4130912,4380912,4380912,12296,12296
Tourism Fund,Department of Economic and Community Development,12412 - Hartford Urban Arts Grant,242371,242371,242371,12412,12412
Tourism Fund,Department of Economic and Community Development,12413 - New Britain Arts Council,39380,39380,39380,12413,12413
Tourism Fund,Department of Economic and Community Development,12435 - Main Street Initiatives,100000,100000,100000,12435,12435
Tourism Fund,Department of Economic and Community Development,12562 - Neighborhood Music School,80540,80540,80540,12562,12562
Tourism Fund,Department of Economic and Community Development,16115 - Nutmeg Games,40000,40000,40000,16115,16115
Tourism Fund,Department of Economic and Community Development,16175 - Discovery Museum,196895,196895,196895,16175,16175
Tourism Fund,Department of Economic and Community Development,16188 - National Theatre of the Deaf,78758,78758,78758,16188,16188
Tourism Fund,Department of Economic and Community Development,16209 - Connecticut Science Center,446626,446626,446626,16209,16209
Tourism Fund,Department of Economic and Community Development,16219 - CT Flagship Producing Theaters Grant,259951,259951,259951,16219,16219
Tourism Fund,Department of Economic and Community Development,16256 - Performing Arts Centers,787571,787571,787571,16256,16256
Tourism Fund,Department of Economic and Community Development,16257 - Performing Theaters Grant,306753,306753,306753,16257,16257
Tourism Fund,Department of Economic and Community Development,16258 - Arts Commission,1497298,1497298,1497298,16258,16258
Tourism Fund,Department of Economic and Community Development,16262 - Art Museum Consortium,287313,287313,287313,16262,16262
Tourism Fund,Department of Economic and Community Development,16264 - Litchfield Jazz Festival,29000,29000,29000,16264,16264
Tourism Fund,Department of Economic and Community Development,16267 - Arte Inc.,20735,20735,20735,16267,16267
Tourism Fund,Department of Economic and Community Development,16268 - CT Virtuosi Orchestra,15250,15250,15250,16268,16268
Tourism Fund,Department of Economic and Community Development,16269 - Barnum Museum,20735,20735,20735,16269,16269
Tourism Fund,Department of Economic and Community Development,16275 - Various Grants,393856,393856,393856,16275,16275
Tourism Fund,Department of Economic and Community Development,16277 - CT Open,250000,0,0,16277,16277
Tourism Fund,Department of Economic and Community Development,17063 - Greater Hartford Arts Council,74079,74079,74079,17063,17063
Tourism Fund,Department of Economic and Community Development,17065 - Stepping Stones Museum for Children,30863,30863,30863,17065,17065
Tourism Fund,Department of Economic and Community Development,17066 - Maritime Center Authority,303705,303705,303705,17066,17066
Tourism Fund,Department of Economic and Community Development,17069 - Connecticut Humanities Council,850000,850000,850000,17069,17069
Tourism Fund,Department of Economic and Community Development,17070 - Amistad Committee for the Freedom Trail,36414,36414,36414,17070,17070
Tourism Fund,Department of Economic and Community Development,17072 - New Haven Festival of Arts and Ideas,414511,414511,414511,17072,17072
Tourism Fund,Department of Economic and Community Development,17073 - New Haven Arts Council,52000,52000,52000,17073,17073
Tourism Fund,Department of Economic and Community Development,17075 - Beardsley Zoo,253879,253879,253879,17075,17075
Tourism Fund,Department of Economic and Community Development,17076 - Mystic Aquarium,322397,322397,322397,17076,17076
Tourism Fund,Department of Economic and Community Development,17078 - Northwestern Tourism,400000,400000,400000,17078,17078
Tourism Fund,Department of Economic and Community Development,17079 - Eastern Tourism,400000,400000,400000,17079,17079
Tourism Fund,Department of Economic and Community Development,17080 - Central Tourism,400000,400000,400000,17080,17080
Tourism Fund,Department of Economic and Community Development,17082 - Twain/Stowe Homes,81196,81196,81196,17082,17082
Tourism Fund,Department of Economic and Community Development,17100 - Cultural Alliance of Fairfield,52000,52000,52000,17100,17100
